ciudad_origen,ciudad_destino,horario_inicio,horario_final,dia_inicio,tipo,dia_final,duracion_viaje,precio
Navalmoral de la Mata,Oropesa,10:44:00,11:09:00,2024-11-01,tren,2024-11-01,25.0,10.57
Oropesa,Talavera de la Reina,11:10:00,11:28:00,2024-11-01,tren,2024-11-01,18.0,8.95
Talavera de la Reina,Torrijos,11:29:00,11:54:00,2024-11-01,tren,2024-11-01,25.0,10.57
Torrijos,Leganés,11:55:00,12:40:00,2024-11-01,tren,2024-11-01,45.0,15.21
Leganés,Madrid,12:41:00,12:54:00,2024-11-01,tren,2024-11-01,13.0,7.78
Badajoz,Merida,08:16:00,08:47:00,2024-11-02,tren,2024-11-02,31.0,11.96
Merida,Cáceres,08:56:00,09:35:00,2024-11-02,tren,2024-11-02,39.0,13.82
Cáceres,Malpartida De Plasencia,09:37:00,10:15:00,2024-11-02,tren,2024-11-02,38.0,13.59
Malpartida De Plasencia,Navalmoral de la Mata,10:16:00,10:43:00,2024-11-02,tren,2024-11-02,27.0,11.03
Navalmoral de la Mata,Oropesa,10:44:00,11:09:00,2024-11-02,tren,2024-11-02,25.0,10.57
Oropesa,Talavera de la Reina,11:10:00,11:28:00,2024-11-02,tren,2024-11-02,18.0,8.95
Talavera de la Reina,Torrijos,11:29:00,11:54:00,2024-11-02,tren,2024-11-02,25.0,10.57
Torrijos,Leganés,11:55:00,12:40:00,2024-11-02,tren,2024-11-02,45.0,15.21
Leganés,Madrid,12:41:00,12:54:00,2024-11-02,tren,2024-11-02,13.0,7.78
Madrid,Alcázar de San Juan,08:20:00,09:42:00,2024-10-28,tren,2024-10-28,82.0,23.8
Alcázar de San Juan,Linares,09:43:00,11:19:00,2024-10-28,tren,2024-10-28,96.0,27.05
Linares,Úbeda,11:21:00,11:46:00,2024-10-28,tren,2024-10-28,25.0,10.57
Úbeda,Cabra del Santo Cristo,11:47:00,12:25:00,2024-10-28,tren,2024-10-28,38.0,13.59
Cabra del Santo Cristo,Guadix,12:26:00,13:13:00,2024-10-28,tren,2024-10-28,47.0,15.68
Guadix,Almeria,13:14:00,14:57:00,2024-10-28,tren,2024-10-28,103.0,28.67
Madrid,Alcázar de San Juan,07:43:00,09:42:00,2024-11-01,tren,2024-11-01,119.0,32.38
Alcázar de San Juan,Linares,09:43:00,11:19:00,2024-11-01,tren,2024-11-01,96.0,27.05
