ciudad_origen,ciudad_destino,horario_inicio,horario_final,dia_inicio,tipo,dia_final,duracion_viaje,precio
Nîmes,Avignon,20:32:00,20:52:00,2024-12-19,tren,2024-12-19,20.0,9.41
Avignon,Aix-en-Provence,20:55:00,21:15:00,2024-12-19,tren,2024-12-19,20.0,9.41
Aix-en-Provence,Marseille,21:18:00,21:29:00,2024-12-19,tren,2024-12-19,11.0,7.32
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-20,tren,2024-12-20,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-20,tren,2024-12-20,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-20,tren,2024-12-20,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-20,tren,2024-12-20,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-20,tren,2024-12-20,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-20,tren,2024-12-20,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2024-12-20,tren,2024-12-20,23.0,10.11
Perpignan,Narbonne,18:09:00,18:48:00,2024-12-20,tren,2024-12-20,39.0,13.82
Narbonne,Montpellier,18:51:00,19:52:00,2024-12-20,tren,2024-12-20,61.0,18.92
Montpellier,Nîmes,20:03:00,20:29:00,2024-12-20,tren,2024-12-20,26.0,10.8
Nîmes,Avignon,20:32:00,20:52:00,2024-12-20,tren,2024-12-20,20.0,9.41
Avignon,Aix-en-Provence,20:55:00,21:15:00,2024-12-20,tren,2024-12-20,20.0,9.41
Aix-en-Provence,Marseille,21:18:00,21:29:00,2024-12-20,tren,2024-12-20,11.0,7.32
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-21,tren,2024-12-21,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-21,tren,2024-12-21,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-21,tren,2024-12-21,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-21,tren,2024-12-21,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-21,tren,2024-12-21,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-21,tren,2024-12-21,14.0,8.02
Figueres,Perpignan,17:33:00,18:00:00,2024-12-21,tren,2024-12-21,27.0,11.03
Perpignan,Narbonne,18:06:00,18:48:00,2024-12-21,tren,2024-12-21,42.0,14.51
Narbonne,Montpellier,18:51:00,19:52:00,2024-12-21,tren,2024-12-21,61.0,18.92
Montpellier,Nîmes,20:02:00,20:29:00,2024-12-21,tren,2024-12-21,27.0,11.03
Nîmes,Avignon,20:32:00,20:52:00,2024-12-21,tren,2024-12-21,20.0,9.41
Avignon,Aix-en-Provence,20:55:00,21:15:00,2024-12-21,tren,2024-12-21,20.0,9.41
Aix-en-Provence,Marseille,21:18:00,21:29:00,2024-12-21,tren,2024-12-21,11.0,7.32
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-22,tren,2024-12-22,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-22,tren,2024-12-22,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-22,tren,2024-12-22,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-22,tren,2024-12-22,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-22,tren,2024-12-22,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-22,tren,2024-12-22,14.0,8.02
Figueres,Perpignan,17:33:00,18:00:00,2024-12-22,tren,2024-12-22,27.0,11.03
Perpignan,Narbonne,18:06:00,18:48:00,2024-12-22,tren,2024-12-22,42.0,14.51
Narbonne,Montpellier,18:51:00,19:52:00,2024-12-22,tren,2024-12-22,61.0,18.92
Montpellier,Nîmes,20:03:00,20:29:00,2024-12-22,tren,2024-12-22,26.0,10.8
Nîmes,Avignon,20:32:00,20:52:00,2024-12-22,tren,2024-12-22,20.0,9.41
Avignon,Aix-en-Provence,20:55:00,21:15:00,2024-12-22,tren,2024-12-22,20.0,9.41
Aix-en-Provence,Marseille,21:18:00,21:32:00,2024-12-22,tren,2024-12-22,14.0,8.02
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-23,tren,2024-12-23,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-23,tren,2024-12-23,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-23,tren,2024-12-23,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-23,tren,2024-12-23,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-23,tren,2024-12-23,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-23,tren,2024-12-23,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2024-12-23,tren,2024-12-23,23.0,10.11
Perpignan,Narbonne,18:09:00,18:48:00,2024-12-23,tren,2024-12-23,39.0,13.82
Narbonne,Montpellier,18:51:00,19:52:00,2024-12-23,tren,2024-12-23,61.0,18.92
Montpellier,Nîmes,20:03:00,20:29:00,2024-12-23,tren,2024-12-23,26.0,10.8
Nîmes,Avignon,20:32:00,20:52:00,2024-12-23,tren,2024-12-23,20.0,9.41
Avignon,Aix-en-Provence,20:55:00,21:15:00,2024-12-23,tren,2024-12-23,20.0,9.41
Aix-en-Provence,Marseille,21:18:00,21:29:00,2024-12-23,tren,2024-12-23,11.0,7.32
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-24,tren,2024-12-24,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-24,tren,2024-12-24,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-24,tren,2024-12-24,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-24,tren,2024-12-24,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-24,tren,2024-12-24,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-24,tren,2024-12-24,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2024-12-24,tren,2024-12-24,23.0,10.11
Perpignan,Narbonne,18:09:00,18:48:00,2024-12-24,tren,2024-12-24,39.0,13.82
Narbonne,Montpellier,18:51:00,19:52:00,2024-12-24,tren,2024-12-24,61.0,18.92
Montpellier,Nîmes,20:03:00,20:29:00,2024-12-24,tren,2024-12-24,26.0,10.8
Nîmes,Avignon,20:32:00,20:52:00,2024-12-24,tren,2024-12-24,20.0,9.41
Avignon,Aix-en-Provence,20:55:00,21:15:00,2024-12-24,tren,2024-12-24,20.0,9.41
Aix-en-Provence,Marseille,21:18:00,21:29:00,2024-12-24,tren,2024-12-24,11.0,7.32
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-25,tren,2024-12-25,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-25,tren,2024-12-25,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-25,tren,2024-12-25,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-25,tren,2024-12-25,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-25,tren,2024-12-25,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-25,tren,2024-12-25,14.0,8.02
Figueres,Perpignan,17:33:00,18:00:00,2024-12-25,tren,2024-12-25,27.0,11.03
Perpignan,Narbonne,18:06:00,18:47:00,2024-12-25,tren,2024-12-25,41.0,14.28
Narbonne,Montpellier,18:47:00,19:52:00,2024-12-25,tren,2024-12-25,65.0,19.85
Montpellier,Nîmes,20:02:00,20:32:00,2024-12-25,tren,2024-12-25,30.0,11.73
Nîmes,Avignon,20:32:00,20:54:00,2024-12-25,tren,2024-12-25,22.0,9.87
Avignon,Aix-en-Provence,20:54:00,21:17:00,2024-12-25,tren,2024-12-25,23.0,10.11
Aix-en-Provence,Marseille,21:17:00,21:32:00,2024-12-25,tren,2024-12-25,15.0,8.25
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-26,tren,2024-12-26,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-26,tren,2024-12-26,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-26,tren,2024-12-26,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-26,tren,2024-12-26,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-26,tren,2024-12-26,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-26,tren,2024-12-26,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2024-12-26,tren,2024-12-26,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2024-12-26,tren,2024-12-26,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2024-12-26,tren,2024-12-26,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2024-12-26,tren,2024-12-26,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2024-12-26,tren,2024-12-26,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2024-12-26,tren,2024-12-26,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2024-12-26,tren,2024-12-26,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-27,tren,2024-12-27,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-27,tren,2024-12-27,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-27,tren,2024-12-27,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-27,tren,2024-12-27,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-27,tren,2024-12-27,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-27,tren,2024-12-27,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2024-12-27,tren,2024-12-27,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2024-12-27,tren,2024-12-27,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2024-12-27,tren,2024-12-27,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2024-12-27,tren,2024-12-27,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2024-12-27,tren,2024-12-27,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2024-12-27,tren,2024-12-27,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2024-12-27,tren,2024-12-27,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-28,tren,2024-12-28,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-28,tren,2024-12-28,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-28,tren,2024-12-28,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-28,tren,2024-12-28,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-28,tren,2024-12-28,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-28,tren,2024-12-28,14.0,8.02
Figueres,Perpignan,17:33:00,18:00:00,2024-12-28,tren,2024-12-28,27.0,11.03
Perpignan,Narbonne,18:06:00,18:44:00,2024-12-28,tren,2024-12-28,38.0,13.59
Narbonne,Montpellier,18:47:00,19:52:00,2024-12-28,tren,2024-12-28,65.0,19.85
Montpellier,Nîmes,20:02:00,20:29:00,2024-12-28,tren,2024-12-28,27.0,11.03
Nîmes,Avignon,20:33:00,20:55:00,2024-12-28,tren,2024-12-28,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2024-12-28,tren,2024-12-28,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2024-12-28,tren,2024-12-28,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-29,tren,2024-12-29,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-29,tren,2024-12-29,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-29,tren,2024-12-29,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-29,tren,2024-12-29,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-29,tren,2024-12-29,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-29,tren,2024-12-29,14.0,8.02
Figueres,Perpignan,17:33:00,18:00:00,2024-12-29,tren,2024-12-29,27.0,11.03
Perpignan,Narbonne,18:06:00,18:44:00,2024-12-29,tren,2024-12-29,38.0,13.59
Narbonne,Montpellier,18:47:00,19:52:00,2024-12-29,tren,2024-12-29,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2024-12-29,tren,2024-12-29,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2024-12-29,tren,2024-12-29,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2024-12-29,tren,2024-12-29,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:32:00,2024-12-29,tren,2024-12-29,12.0,7.55
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-30,tren,2024-12-30,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-30,tren,2024-12-30,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-30,tren,2024-12-30,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-30,tren,2024-12-30,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-30,tren,2024-12-30,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-30,tren,2024-12-30,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2024-12-30,tren,2024-12-30,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2024-12-30,tren,2024-12-30,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2024-12-30,tren,2024-12-30,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2024-12-30,tren,2024-12-30,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2024-12-30,tren,2024-12-30,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2024-12-30,tren,2024-12-30,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2024-12-30,tren,2024-12-30,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2024-12-31,tren,2024-12-31,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2024-12-31,tren,2024-12-31,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2024-12-31,tren,2024-12-31,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2024-12-31,tren,2024-12-31,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2024-12-31,tren,2024-12-31,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2024-12-31,tren,2024-12-31,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2024-12-31,tren,2024-12-31,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2024-12-31,tren,2024-12-31,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2024-12-31,tren,2024-12-31,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2024-12-31,tren,2024-12-31,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2024-12-31,tren,2024-12-31,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2024-12-31,tren,2024-12-31,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2024-12-31,tren,2024-12-31,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-01,tren,2025-01-01,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-01,tren,2025-01-01,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-01,tren,2025-01-01,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-01,tren,2025-01-01,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-01,tren,2025-01-01,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-01,tren,2025-01-01,14.0,8.02
Figueres,Perpignan,17:33:00,18:00:00,2025-01-01,tren,2025-01-01,27.0,11.03
Perpignan,Narbonne,18:06:00,18:47:00,2025-01-01,tren,2025-01-01,41.0,14.28
Narbonne,Montpellier,18:47:00,19:52:00,2025-01-01,tren,2025-01-01,65.0,19.85
Montpellier,Nîmes,20:02:00,20:32:00,2025-01-01,tren,2025-01-01,30.0,11.73
Nîmes,Avignon,20:32:00,20:54:00,2025-01-01,tren,2025-01-01,22.0,9.87
Avignon,Aix-en-Provence,20:54:00,21:17:00,2025-01-01,tren,2025-01-01,23.0,10.11
Aix-en-Provence,Marseille,21:17:00,21:32:00,2025-01-01,tren,2025-01-01,15.0,8.25
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-02,tren,2025-01-02,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-02,tren,2025-01-02,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-02,tren,2025-01-02,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-02,tren,2025-01-02,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-02,tren,2025-01-02,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-02,tren,2025-01-02,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2025-01-02,tren,2025-01-02,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2025-01-02,tren,2025-01-02,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2025-01-02,tren,2025-01-02,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2025-01-02,tren,2025-01-02,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2025-01-02,tren,2025-01-02,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2025-01-02,tren,2025-01-02,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2025-01-02,tren,2025-01-02,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-03,tren,2025-01-03,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-03,tren,2025-01-03,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-03,tren,2025-01-03,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-03,tren,2025-01-03,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-03,tren,2025-01-03,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-03,tren,2025-01-03,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2025-01-03,tren,2025-01-03,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2025-01-03,tren,2025-01-03,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2025-01-03,tren,2025-01-03,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2025-01-03,tren,2025-01-03,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2025-01-03,tren,2025-01-03,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2025-01-03,tren,2025-01-03,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2025-01-03,tren,2025-01-03,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-04,tren,2025-01-04,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-04,tren,2025-01-04,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-04,tren,2025-01-04,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-04,tren,2025-01-04,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-04,tren,2025-01-04,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-04,tren,2025-01-04,14.0,8.02
Figueres,Perpignan,17:33:00,18:00:00,2025-01-04,tren,2025-01-04,27.0,11.03
Perpignan,Narbonne,18:06:00,18:44:00,2025-01-04,tren,2025-01-04,38.0,13.59
Narbonne,Montpellier,18:47:00,19:52:00,2025-01-04,tren,2025-01-04,65.0,19.85
Montpellier,Nîmes,20:02:00,20:29:00,2025-01-04,tren,2025-01-04,27.0,11.03
Nîmes,Avignon,20:33:00,20:55:00,2025-01-04,tren,2025-01-04,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2025-01-04,tren,2025-01-04,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2025-01-04,tren,2025-01-04,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-05,tren,2025-01-05,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-05,tren,2025-01-05,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-05,tren,2025-01-05,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-05,tren,2025-01-05,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-05,tren,2025-01-05,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-05,tren,2025-01-05,14.0,8.02
Figueres,Perpignan,17:33:00,18:00:00,2025-01-05,tren,2025-01-05,27.0,11.03
Perpignan,Narbonne,18:06:00,18:44:00,2025-01-05,tren,2025-01-05,38.0,13.59
Narbonne,Montpellier,18:47:00,19:52:00,2025-01-05,tren,2025-01-05,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2025-01-05,tren,2025-01-05,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2025-01-05,tren,2025-01-05,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2025-01-05,tren,2025-01-05,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:32:00,2025-01-05,tren,2025-01-05,12.0,7.55
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-06,tren,2025-01-06,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-06,tren,2025-01-06,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-06,tren,2025-01-06,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-06,tren,2025-01-06,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-06,tren,2025-01-06,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-06,tren,2025-01-06,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2025-01-06,tren,2025-01-06,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2025-01-06,tren,2025-01-06,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2025-01-06,tren,2025-01-06,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2025-01-06,tren,2025-01-06,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2025-01-06,tren,2025-01-06,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2025-01-06,tren,2025-01-06,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2025-01-06,tren,2025-01-06,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-07,tren,2025-01-07,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-07,tren,2025-01-07,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-07,tren,2025-01-07,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-07,tren,2025-01-07,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-07,tren,2025-01-07,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-07,tren,2025-01-07,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2025-01-07,tren,2025-01-07,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2025-01-07,tren,2025-01-07,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2025-01-07,tren,2025-01-07,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2025-01-07,tren,2025-01-07,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2025-01-07,tren,2025-01-07,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2025-01-07,tren,2025-01-07,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2025-01-07,tren,2025-01-07,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-08,tren,2025-01-08,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-08,tren,2025-01-08,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-08,tren,2025-01-08,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-08,tren,2025-01-08,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-08,tren,2025-01-08,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-08,tren,2025-01-08,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2025-01-08,tren,2025-01-08,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2025-01-08,tren,2025-01-08,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2025-01-08,tren,2025-01-08,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2025-01-08,tren,2025-01-08,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2025-01-08,tren,2025-01-08,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2025-01-08,tren,2025-01-08,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2025-01-08,tren,2025-01-08,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-09,tren,2025-01-09,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-09,tren,2025-01-09,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-09,tren,2025-01-09,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-09,tren,2025-01-09,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-09,tren,2025-01-09,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-09,tren,2025-01-09,14.0,8.02
Figueres,Perpignan,17:33:00,17:56:00,2025-01-09,tren,2025-01-09,23.0,10.11
Perpignan,Narbonne,18:09:00,18:44:00,2025-01-09,tren,2025-01-09,35.0,12.89
Narbonne,Montpellier,18:47:00,19:52:00,2025-01-09,tren,2025-01-09,65.0,19.85
Montpellier,Nîmes,20:07:00,20:29:00,2025-01-09,tren,2025-01-09,22.0,9.87
Nîmes,Avignon,20:33:00,20:55:00,2025-01-09,tren,2025-01-09,22.0,9.87
Avignon,Aix-en-Provence,20:58:00,21:17:00,2025-01-09,tren,2025-01-09,19.0,9.18
Aix-en-Provence,Marseille,21:20:00,21:29:00,2025-01-09,tren,2025-01-09,9.0,6.86
Madrid,Valdeluz,13:25:00,13:48:00,2025-01-10,tren,2025-01-10,23.0,10.11
Valdeluz,Zaragoza,13:50:00,14:47:00,2025-01-10,tren,2025-01-10,57.0,18.0
Zaragoza,la Secuita,14:50:00,15:44:00,2025-01-10,tren,2025-01-10,54.0,17.3
la Secuita,Barcelona,15:46:00,16:22:00,2025-01-10,tren,2025-01-10,36.0,13.12
Barcelona,Gerona,16:34:00,17:13:00,2025-01-10,tren,2025-01-10,39.0,13.82
Gerona,Figueres,17:16:00,17:30:00,2025-01-10,tren,2025-01-10,14.0,8.02
