name,lat,lon,city,country
Estación de tren Orihuela-Miguel Hernandez,38.0779194,-0.94445,Orihuela,España
Estación de tren Torre-Pacheco,37.746905,-0.967078,Torre Pacheco,España
Estación de tren Murcia,37.97465,-1.1299555,Murcia,España
Estación de tren Lorca Sutullena,37.6725714,-1.6959002,Lorca,España
Estación de tren Alhama de Murcia,37.8493837,-1.4145055,Alhama de Murcia,España
Estación de tren Totana,37.7635101,-1.4956127,Totana,España
Estación de tren Ciudad Real,38.9853,-3.913633,Ciudad Real,España
Estación de tren Puertollano,38.69128,-4.111655,Puertollano,España
Estación de tren Antequera-Santa Ana,37.069881,-4.719014,Antequera,España
Estación de tren Puente Genil-Herrera,37.3579,-4.821638,Puente Genil,España
Estación de tren Villanueva de Cordoba-Los Pedroches,38.2554049,-4.570952,Villanueva de Córdoba,España
Estación de tren Granada,37.184038,-3.609154,Granada,España
Estación de tren Loja,37.175372,-4.134841,Loja,España
Estación de tren Huelva,37.253079,-6.950971,Huelva,España
Estación de tren La Palma del Condado,37.390665,-6.554444,La Palma del Condado,España
Estación de tren Huesca,42.133594,-0.409745,Huesca,España
Estación de tren Tardienta,41.975716,-0.538223,Tardienta,España
Estación de tren ELX AV,38.24551,-0.76675,Elx / Elche,España
Estación de tren Cuenca Fernando Zobel,40.035192,-2.14441,Cuenca,España
Estación de tren Zamora,41.515892,-5.739675,Zamora,España
Estación de tren Tolosa,43.1354047,-2.0789084,Amorots-Succos,España
Estación de tren Gijon,43.535175,-5.698318,Gijón,España
Estación de tren Oviedo,43.366841,-5.854263,Oviedo,España
Estación de tren Ferrol,43.4880349,-8.231143,Ferrol,España
Estación de tren Segovia Guiomar,40.910577,-4.094564,Segovia,España
Estación de tren PUEBLA DE SANABRIA LLEGADA,42.045763,-6.626848,Puebla de Sanabria,España
Estación de tren A GUDIÑA-PORTA DE GALICIA,42.0606439,-7.132532,A Gudiña,España
Estación de tren Betanzos-Infesta,43.270698,-8.225847,Betanzos,España
Estación de tren Pontedeume,43.411797,-8.180416,Pontedeume,España
Estación de tren Pola de Lena,43.158942,-5.831075,Lena,España
Estación de tren Santander,43.458575,-3.811223,Santander,España
Estación de tren Aguilar de Campoo,42.785362,-4.233899,Aguilar de Campoo,España
Estación de tren Torrelavega,43.33974,-4.02896,Sierrapando,España
Estación de tren Reinosa,42.995158,-4.139917,Reinosa,España
Estación de tren Mieres-Puente,43.250027,-5.78028,Uxo,España
Estación de tren Irun,43.339582,-1.800192,Irun,España
Estación de tren Veguellina,42.4335,-5.88756,Villarejo de Órbigo,España
Estación de tren Branyuelas,42.632631,-6.201002,Villagatón,España
Estación de tren Aviles,43.561191,-5.922576,Avilés,España
Estación de tren Pontevedra,42.421969,-8.635546,Pontevedra,España
Estación de tren Vilagarcia de Arousa,42.602189,-8.762523,Vilagarcía de Arousa,España
Estación de tren San Miguel de Las Duenyas,42.586392,-6.523776,San Miguel de las Dueñas,España
Estación de tren Torre del Bierzo,42.595578,-6.329083,Torre del Bierzo,España
Estación de tren Vega-Magaz,42.55376,-6.068267,Magaz de Cepeda,España
Estación de tren Requena Utiel,39.519834,-1.127601,Requena,España
Estación de tren Gandia,38.9702805,-0.1797722,Gandia,España
Estación de tren Cullera,39.1778305,-0.2632361,Cullera,España
Estación de tren Toledo,39.862272,-4.011244,Toledo,España
Estación de tren CALLOSA DE SEGURA - COX,38.1227708,-0.8745727,Callosa de Segura,España
