stop_name,stop_lat,stop_lon,ciudad,país
Estación de tren Figueres Vilafant,42.264771,2.943547,Figueres,ES
Estación de tren Girona,41.979303,2.817006,Gerona,ES
Estación de tren Sagunt/sagunto,39.6756611,-0.2715972,Sagunto,ES
Estación de tren Benicassim,40.0579451,0.0577646,Benicàssim / Benicasim,ES
Estación de tren Orpesa,40.092258,0.139861,Orpesa / Oropesa del Mar,ES
Estación de tren Tarragona,41.111624,1.253214,Tarragona,ES
Estación de tren Elda-Petrer,38.484879,-0.80109,Elda,ES
Estación de tren Villena,38.631738,-0.867689,Villena,ES
Estación de tren Cartagena,37.604967,-0.975122,Cartagena,ES
Estación de tren Elche Parque/elx Parc,38.2717784,-0.6952109,Elche,ES
Estación de tren Orihuela-Miguel Hernandez,38.0779194,-0.94445,Orihuela,ES
Estación de tren Torre-Pacheco,37.746905,-0.967078,Torre Pacheco,ES
Estación de tren Murcia,37.97465,-1.1299555,Murcia,ES
Estación de tren Lorca Sutullena,37.6725714,-1.6959002,Lorca,ES
Estación de tren Alhama de Murcia,37.8493837,-1.4145055,Alhama de Murcia,ES
Estación de tren Totana,37.7635101,-1.4956127,Totana,ES
Estación de tren Ciudad Real,38.9853,-3.913633,Ciudad Real,ES
Estación de tren Puertollano,38.69128,-4.111655,Puertollano,ES
Estación de tren Malaga Maria Zambrano,36.7113388,-4.4313888,Málaga,ES
Estación de tren Antequera-Santa Ana,37.069881,-4.719014,Antequera,ES
Estación de tren Puente Genil-Herrera,37.3579,-4.821638,Puente Genil,ES
Estación de tren Villanueva de Cordoba-Los Pedroches,38.2554049,-4.570952,Villanueva de Córdoba,ES
Estación de tren Granada,37.184038,-3.609154,Granada,ES
Estación de tren Loja,37.175372,-4.134841,Loja,ES
Estación de tren Huelva,37.253079,-6.950971,Huelva,ES
Estación de tren La Palma del Condado,37.390665,-6.554444,La Palma del Condado,ES
Estación de tren Huesca,42.133594,-0.409745,Huesca,ES
Estación de tren Tardienta,41.975716,-0.538223,Tardienta,ES
Estación de tren ELX AV,38.24551,-0.76675,Elx / Elche,ES
Estación de tren Cuenca Fernando Zobel,40.035192,-2.14441,Cuenca,ES
Estación de tren Zamora,41.515892,-5.739675,Zamora,ES
Estación de tren Tolosa,43.1354047,-2.0789084,Amorots-Succos,ES
Estación de tren Gijon,43.535175,-5.698318,Gijón,ES
Estación de tren Oviedo,43.366841,-5.854263,Oviedo,ES
Estación de tren Ferrol,43.4880349,-8.231143,Ferrol,ES
Estación de tren Segovia Guiomar,40.910577,-4.094564,Segovia,ES
Estación de tren PUEBLA DE SANABRIA LLEGADA,42.045763,-6.626848,Puebla de Sanabria,ES
Estación de tren A GUDIÑA-PORTA DE GALICIA,42.0606439,-7.132532,A Gudiña,ES
Estación de tren Betanzos-Infesta,43.270698,-8.225847,Betanzos,ES
Estación de tren Pontedeume,43.411797,-8.180416,Pontedeume,ES
Estación de tren Pola de Lena,43.158942,-5.831075,Lena,ES
Estación de tren Santander,43.458575,-3.811223,Santander,ES
Estación de tren Aguilar de Campoo,42.785362,-4.233899,Aguilar de Campoo,ES
Estación de tren Torrelavega,43.33974,-4.02896,Sierrapando,ES
Estación de tren Reinosa,42.995158,-4.139917,Reinosa,ES
Estación de tren Mieres-Puente,43.250027,-5.78028,Uxo,ES
Estación de tren Irun,43.339582,-1.800192,Irun,ES
Estación de tren Veguellina,42.4335,-5.88756,Villarejo de Órbigo,ES
Estación de tren Branyuelas,42.632631,-6.201002,Villagatón,ES
Estación de tren Aviles,43.561191,-5.922576,Avilés,ES
Estación de tren Pontevedra,42.421969,-8.635546,Pontevedra,ES
Estación de tren Vilagarcia de Arousa,42.602189,-8.762523,Vilagarcía de Arousa,ES
Estación de tren San Miguel de Las Duenyas,42.586392,-6.523776,San Miguel de las Dueñas,ES
Estación de tren Torre del Bierzo,42.595578,-6.329083,Torre del Bierzo,ES
Estación de tren Vega-Magaz,42.55376,-6.068267,Magaz de Cepeda,ES
Estación de tren Requena Utiel,39.519834,-1.127601,Requena,ES
Estación de tren Gandia,38.9702805,-0.1797722,Gandia,ES
Estación de tren Cullera,39.1778305,-0.2632361,Cullera,ES
Estación de tren Toledo,39.862272,-4.011244,Toledo,ES
Estación de tren CALLOSA DE SEGURA - COX,38.1227708,-0.8745727,Callosa de Segura,ES
Estación de tren Beniel,38.0447361,-0.9994472,Beniel,ES
Estación de tren Cerceda-Meirama,43.2078791,-8.4467723,Cerceda,ES
Estación de tren Padron-Barbanza,42.738967,-8.652614,Padrón,ES
Estación de tren Arcade,42.340549,-8.611178,Arcade,ES
Estación de tren Algeciras,36.126831,-5.451108,Algeciras,ES
Estación de tren Ronda,36.748401,-5.16197,Ronda,ES
Estación de tren San Roque-La Linea,36.214482,-5.432399,San Roque,ES
Estación de tren Marseille St Charles,43.30349,5.382236,Marseille,ES
Estación de tren Aix en Provence,43.455268,5.31723,Aix-en-Provence,ES
Estación de tren Avignon,43.921938,4.785813,Avignon,ES
Estación de tren NIMES,43.832291,4.365845,Nîmes,ES
Estación de tren Montpellier,43.604852,3.880491,Montpellier,ES
Estación de tren Narbonne,43.190253,3.005716,Narbonne,ES
Estación de tren Perpignan,42.696421,2.880381,Perpignan,ES
Estación de tren Lyon Part Dieu,45.760281,4.859801,Lyon,ES
Estación de tren Valence,44.991545,4.978703,Alixan,ES
Estación de tren Archena-Fortuna,38.13132,-1.236037,Molina de Segura,ES
Estación de tren Cieza,38.246609,-1.421702,Cieza,ES
Estación de tren Hellin,38.508776,-1.688437,Hellín,ES
Estación de tren Cabezon del Pisuerga,41.737276,-4.651294,Cabezón de Pisuerga,ES
Estación de tren Corcos-Aguilarejo,41.766446,-4.623485,Corcos,ES
Estación de tren Cubillas de Santa Marta,41.808861,-4.579754,Cubillas de Santa Marta,ES
Estación de tren Duenyas,41.87048,-4.541216,Dueñas,ES
Estación de tren Venta de Banyos,41.91736,-4.495844,Venta de Baños,ES
Estación de tren Grijota,42.049225,-4.583954,Grijota,ES
Estación de tren Becerril,42.104706,-4.64712,Becerril de Campos,ES
Estación de tren Paredes de Nava,42.150694,-4.697599,Paredes de Nava,ES
Estación de tren Villada,42.245238,-4.970589,Villada,ES
Estación de tren Grajal,42.323246,-5.013381,Grajal de Campos,ES
Estación de tren Sahagun,42.369329,-5.022667,Sahagún,ES
Estación de tren El Burgo Ranero,42.425753,-5.208592,El Burgo Ranero,ES
